Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Player
Champions League ,last 16,2/26/14,Away,Real Madrid,FC Schalke 04,1:6,LW,89',0:6,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,26,3/2/14,Away,Real Madrid,Atlético de Madrid,2:2,LW,82',2:2,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,27,3/9/14,Home,Real Madrid,Levante UD,3:0,LW,11',1:0,Header,Ángel Di María,Cristiano Ronaldo
LaLiga ,28,3/15/14,Away,Real Madrid,Málaga CF,0:1,LW,23',0:1,Right-footed shot,Gareth Bale,Cristiano Ronaldo
Champions League ,last 16,3/18/14,Home,Real Madrid,FC Schalke 04,3:1,LW,22',1:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
Champions League ,last 16,3/18/14,Home,Real Madrid,FC Schalke 04,3:1,LW,74',2:1,Right-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,29,3/23/14,Home,Real Madrid,FC Barcelona,3:4,LW,55',3:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,30,3/26/14,Away,Real Madrid,Sevilla FC,2:1,LW,14',0:1,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,31,3/29/14,Home,Real Madrid,Rayo Vallecano,5:0,LW,15',1:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/2/14,Home,Real Madrid,Borussia Dortmund,3:0,LW,57',3:0,Left-footed shot,Luka Modric,Cristiano Ronaldo
LaLiga ,35,4/26/14,Home,Real Madrid,CA Osasuna,4:0,LW,6',1:0,Long distance kick,Ángel Di María,Cristiano Ronaldo
LaLiga ,35,4/26/14,Home,Real Madrid,CA Osasuna,4:0,LW,52',2:0,Long distance kick,Isco,Cristiano Ronaldo
Champions League ,Semi-Finals,4/29/14,Away,Real Madrid,Bayern Munich,0:4,CF,34',0:3,Counter attack goal,Gareth Bale,Cristiano Ronaldo
Champions League ,Semi-Finals,4/29/14,Away,Real Madrid,Bayern Munich,0:4,CF,90',0:4,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,36,5/4/14,Home,Real Madrid,Valencia CF,2:2,LW,90',2:2,Right-footed shot,Ángel Di María,Cristiano Ronaldo
Champions League ,Final,5/24/14,Home,Real Madrid,Atlético de Madrid,4:1,LW,120',4:1,Penalty,Not Applicable,Cristiano Ronaldo
UEFA Super Cup ,Final,8/12/14,Home,Real Madrid,Sevilla FC,2:0,LW,30',1:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
UEFA Super Cup ,Final,8/12/14,Home,Real Madrid,Sevilla FC,2:0,LW,49',2:0,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,1,8/25/14,Home,Real Madrid,Córdoba CF,2:0,LW,90',2:0,Right-footed shot,Isco,Cristiano Ronaldo
LaLiga ,3,9/13/14,Home,Real Madrid,Atlético de Madrid,1:2,LW,25',1:1,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/16/14,Home,Real Madrid,FC Basel 1893,5:1,LW,31',3:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,4,9/20/14,Away,Real Madrid,Deportivo de La Coruña,2:8,RW,29',0:1,Header,Álvaro Arbeloa,Cristiano Ronaldo
LaLiga ,4,9/20/14,Away,Real Madrid,Deportivo de La Coruña,2:8,RW,41',0:3,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,4,9/20/14,Away,Real Madrid,Deportivo de La Coruña,2:8,RW,78',1:6,Left-footed shot,James Rodríguez,Cristiano Ronaldo
LaLiga ,5,9/23/14,Home,Real Madrid,Elche CF,5:1,CF,28',2:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,5,9/23/14,Home,Real Madrid,Elche CF,5:1,CF,32',3:1,Header,Marcelo,Cristiano Ronaldo
LaLiga ,5,9/23/14,Home,Real Madrid,Elche CF,5:1,CF,80',4:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,5,9/23/14,Home,Real Madrid,Elche CF,5:1,CF,90',5:1,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,6,9/27/14,Away,Real Madrid,Villarreal CF,0:2,CF,40',0:2,Right-footed shot,Karim Benzema,Cristiano Ronaldo
Champions League ,Group Stage,10/1/14,Away,Real Madrid,Ludogorets Razgrad,1:2,CF,25',1:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,7,10/5/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,3',1:0,Header,Gareth Bale,Cristiano Ronaldo
LaLiga ,7,10/5/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,55',3:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,7,10/5/14,Home,Real Madrid,Athletic Bilbao,5:0,LW,89',5:0,Deflected shot on goal,Pepe,Cristiano Ronaldo
LaLiga ,8,10/18/14,Away,Real Madrid,Levante UD,0:5,CF,13',0:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,8,10/18/14,Away,Real Madrid,Levante UD,0:5,CF,61',0:3,Right-footed shot,Isco,Cristiano Ronaldo
Champions League ,Group Stage,10/22/14,Away,Real Madrid,Liverpool FC,0:3,CF,23',0:1,Right-footed shot,James Rodríguez,Cristiano Ronaldo
LaLiga ,9,10/25/14,Home,Real Madrid,FC Barcelona,3:1,CF,35',1:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,10,11/1/14,Away,Real Madrid,Granada CF,0:4,CF,2',0:1,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,11,11/8/14,Home,Real Madrid,Rayo Vallecano,5:1,CF,83',5:1,Right-footed shot,Isco,Cristiano Ronaldo
LaLiga ,12,11/22/14,Away,Real Madrid,SD Eibar,0:4,CF,43',0:2,Right-footed shot,Daniel Carvajal,Cristiano Ronaldo
LaLiga ,12,11/22/14,Away,Real Madrid,SD Eibar,0:4,CF,83',0:4,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,11/26/14,Away,Real Madrid,FC Basel 1893,0:1,LW,35',0:1,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,14,12/6/14,Home,Real Madrid,Celta de Vigo,3:0,CF,36',1:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,14,12/6/14,Home,Real Madrid,Celta de Vigo,3:0,CF,65',2:0,Right-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,14,12/6/14,Home,Real Madrid,Celta de Vigo,3:0,CF,81',3:0,Left-footed shot,Marcelo,Cristiano Ronaldo
Champions League ,Group Stage,12/9/14,Home,Real Madrid,Ludogorets Razgrad,4:0,CF,20',1:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,15,12/12/14,Away,Real Madrid,UD Almería,1:4,CF,81',1:3,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,15,12/12/14,Away,Real Madrid,UD Almería,1:4,CF,89',1:4,Right-footed shot,Daniel Carvajal,Cristiano Ronaldo
LaLiga ,17,1/4/15,Away,Real Madrid,Valencia CF,2:1,LW,14',0:1,Penalty,Not Applicable,Cristiano Ronaldo
Copa del Rey ,last 16,1/15/15,Home,Real Madrid,Atlético de Madrid,2:2,CF,54',2:2,Header,Gareth Bale,Cristiano Ronaldo
LaLiga ,19,1/18/15,Away,Real Madrid,Getafe CF,0:3,LW,63',0:1,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,19,1/18/15,Away,Real Madrid,Getafe CF,0:3,LW,79',0:3,Header,James Rodríguez,Cristiano Ronaldo
Champions League ,last 16,2/18/15,Away,Real Madrid,FC Schalke 04,0:2,LW,26',0:1,Header,Daniel Carvajal,Cristiano Ronaldo
LaLiga ,24,2/22/15,Away,Real Madrid,Elche CF,0:2,CF,69',0:2,Header,Isco,Cristiano Ronaldo
LaLiga ,25,3/1/15,Home,Real Madrid,Villarreal CF,1:1,CF,52',1:0,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,last 16,3/10/15,Home,Real Madrid,FC Schalke 04,3:4,CF,25',1:1,Header,Toni Kroos,Cristiano Ronaldo
Champions League ,last 16,3/10/15,Home,Real Madrid,FC Schalke 04,3:4,CF,45',2:2,Header,Fábio Coentrão,Cristiano Ronaldo
LaLiga ,28,3/22/15,Away,Real Madrid,FC Barcelona,2:1,LW,31',1:1,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,29,4/5/15,Home,Real Madrid,Granada CF,9:1,CF,30',2:0,Right-footed shot,James Rodríguez,Cristiano Ronaldo
LaLiga ,29,4/5/15,Home,Real Madrid,Granada CF,9:1,CF,36',3:0,Right-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,29,4/5/15,Home,Real Madrid,Granada CF,9:1,CF,38',4:0,Long distance kick,Gareth Bale,Cristiano Ronaldo
LaLiga ,29,4/5/15,Home,Real Madrid,Granada CF,9:1,CF,54',6:0,Header,Gareth Bale,Cristiano Ronaldo
LaLiga ,29,4/5/15,Home,Real Madrid,Granada CF,9:1,CF,90',9:1,Header,Luka Modric,Cristiano Ronaldo
LaLiga ,30,4/8/15,Away,Real Madrid,Rayo Vallecano,0:2,LW,68',0:1,Header,Daniel Carvajal,Cristiano Ronaldo
LaLiga ,31,4/11/15,Home,Real Madrid,SD Eibar,3:0,LW,21',1:0,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,32,4/18/15,Home,Real Madrid,Málaga CF,3:1,CF,90'+2,3:1,Left-footed shot,Chicharito,Cristiano Ronaldo
LaLiga ,35,5/2/15,Away,Real Madrid,Sevilla FC,2:3,CF,36',0:1,Header,Isco,Cristiano Ronaldo
LaLiga ,35,5/2/15,Away,Real Madrid,Sevilla FC,2:3,CF,37',0:2,Right-footed shot,Chicharito,Cristiano Ronaldo
LaLiga ,35,5/2/15,Away,Real Madrid,Sevilla FC,2:3,CF,69',1:3,Header,Gareth Bale,Cristiano Ronaldo
Champions League ,Semi-Finals,5/5/15,Away,Real Madrid,Juventus FC,2:1,CF,27',1:1,Header,James Rodríguez,Cristiano Ronaldo
Champions League ,Semi-Finals,5/13/15,Home,Real Madrid,Juventus FC,1:1,LW,23',1:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,37,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,59',0:1,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,37,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,83',1:3,Right-footed shot,Chicharito,Cristiano Ronaldo
LaLiga ,37,5/17/15,Away,Real Madrid,RCD Espanyol Barcelona,1:4,LW,90'+1,1:4,Header,James Rodríguez,Cristiano Ronaldo
LaLiga ,38,5/23/15,Home,Real Madrid,Getafe CF,7:3,LW,13',1:0,Header,Marcelo,Cristiano Ronaldo
LaLiga ,38,5/23/15,Home,Real Madrid,Getafe CF,7:3,LW,32',2:2,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,38,5/23/15,Home,Real Madrid,Getafe CF,7:3,LW,34',3:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,3,9/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,7',0:1,Right-footed shot,Luka Modric,Cristiano Ronaldo
LaLiga ,3,9/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,17',0:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,3,9/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,20',0:3,Left-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,3,9/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,61',0:5,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,3,9/12/15,Away,Real Madrid,RCD Espanyol Barcelona,0:6,LW,81',0:6,Right-footed shot,Lucas Vázquez,Cristiano Ronaldo
Champions League ,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,56',2:0,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,64',3:0,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/15/15,Home,Real Madrid,Shakhtar Donetsk,4:0,LW,82',4:0,Header,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/30/15,Away,Real Madrid,Malmö FF,0:2,LW,29',0:1,Right-footed shot,Isco,Cristiano Ronaldo
Champions League ,Group Stage,9/30/15,Away,Real Madrid,Malmö FF,0:2,LW,90',0:2,Left-footed shot,Lucas Vázquez,Cristiano Ronaldo
LaLiga ,8,10/17/15,Home,Real Madrid,Levante UD,3:0,CF,30',2:0,Right-footed shot,Toni Kroos,Cristiano Ronaldo
LaLiga ,9,10/24/15,Away,Real Madrid,Celta de Vigo,1:3,CF,8',0:1,Right-footed shot,Lucas Vázquez,Cristiano Ronaldo
LaLiga ,10,10/31/15,Home,Real Madrid,UD Las Palmas,3:1,CF,14',2:0,Header,Marcelo,Cristiano Ronaldo
Champions League ,Group Stage,11/25/15,Away,Real Madrid,Shakhtar Donetsk,3:4,CF,18',0:1,Header,Gareth Bale,Cristiano Ronaldo
Champions League ,Group Stage,11/25/15,Away,Real Madrid,Shakhtar Donetsk,3:4,CF,70',0:4,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,13,11/29/15,Away,Real Madrid,SD Eibar,0:2,CF,82',0:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,14,12/5/15,Home,Real Madrid,Getafe CF,4:1,LW,38',4:0,Right-footed shot,Toni Kroos,Cristiano Ronaldo
Champions League ,Group Stage,12/8/15,Home,Real Madrid,Malmö FF,8:0,LW,39',3:0,Direct free kick,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,12/8/15,Home,Real Madrid,Malmö FF,8:0,LW,47',4:0,Tap-in,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,12/8/15,Home,Real Madrid,Malmö FF,8:0,LW,50',5:0,Right-footed shot,Danilo,Cristiano Ronaldo
Champions League ,Group Stage,12/8/15,Home,Real Madrid,Malmö FF,8:0,LW,59',6:0,Right-footed shot,Isco,Cristiano Ronaldo
LaLiga ,16,12/20/15,Home,Real Madrid,Rayo Vallecano,10:2,LW,30',3:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,16,12/20/15,Home,Real Madrid,Rayo Vallecano,10:2,LW,54',6:2,Header,James Rodríguez,Cristiano Ronaldo
LaLiga ,17,12/30/15,Home,Real Madrid,Real Sociedad,3:1,LW,42',1:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,17,12/30/15,Home,Real Madrid,Real Sociedad,3:1,LW,68',2:1,Left-footed shot,Marcelo,Cristiano Ronaldo
LaLiga ,20,1/17/16,Home,Real Madrid,Sporting Gijón,5:1,LW,9',2:0,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,20,1/17/16,Home,Real Madrid,Sporting Gijón,5:1,LW,18',4:0,Left-footed shot,Daniel Carvajal,Cristiano Ronaldo
LaLiga ,22,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,12',2:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,22,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,45',4:0,Left-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,22,1/31/16,Home,Real Madrid,RCD Espanyol Barcelona,6:0,LW,82',5:0,Header,Jesé,Cristiano Ronaldo
LaLiga ,24,2/13/16,Home,Real Madrid,Athletic Bilbao,4:2,LW,3',1:0,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,24,2/13/16,Home,Real Madrid,Athletic Bilbao,4:2,LW,87',4:1,Right-footed shot,Lucas Vázquez,Cristiano Ronaldo
Champions League ,last 16,2/17/16,Away,Real Madrid,AS Roma,0:2,LW,57',0:1,Right-footed shot,Marcelo,Cristiano Ronaldo
LaLiga ,25,2/21/16,Away,Real Madrid,Málaga CF,1:1,LW,33',0:1,Header,Toni Kroos,Cristiano Ronaldo
LaLiga ,27,3/2/16,Away,Real Madrid,Levante UD,1:3,LW,34',0:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,28,3/5/16,Home,Real Madrid,Celta de Vigo,7:1,LW,50',2:0,Long distance kick,Sergio Ramos,Cristiano Ronaldo
LaLiga ,28,3/5/16,Home,Real Madrid,Celta de Vigo,7:1,LW,58',3:0,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,28,3/5/16,Home,Real Madrid,Celta de Vigo,7:1,LW,64',4:1,Right-footed shot,Isco,Cristiano Ronaldo
LaLiga ,28,3/5/16,Home,Real Madrid,Celta de Vigo,7:1,LW,76',5:1,Header,Jesé,Cristiano Ronaldo
Champions League ,last 16,3/8/16,Home,Real Madrid,AS Roma,2:0,CF,64',1:0,Right-footed shot,Lucas Vázquez,Cristiano Ronaldo
LaLiga ,30,3/20/16,Home,Real Madrid,Sevilla FC,4:0,LW,64',2:0,Left-footed shot,Danilo,Cristiano Ronaldo
LaLiga ,31,4/2/16,Away,Real Madrid,FC Barcelona,1:2,LW,85',1:2,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,32,4/9/16,Home,Real Madrid,SD Eibar,4:0,CF,19',3:0,Right-footed shot,Jesé,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/12/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,16',1:0,Right-footed shot,Daniel Carvajal,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/12/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,17',2:0,Header,Toni Kroos,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/12/16,Home,Real Madrid,VfL Wolfsburg,3:0,LW,77',3:0,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,33,4/16/16,Away,Real Madrid,Getafe CF,1:5,LW,90'+2,1:5,Left-footed shot,Jesé,Cristiano Ronaldo
LaLiga ,37,5/8/16,Home,Real Madrid,Valencia CF,3:2,LW,26',1:0,Right-footed shot,Marcelo,Cristiano Ronaldo
LaLiga ,37,5/8/16,Home,Real Madrid,Valencia CF,3:2,LW,59',3:1,Left-footed shot,James Rodríguez,Cristiano Ronaldo
LaLiga ,38,5/14/16,Away,Real Madrid,Deportivo de La Coruña,0:2,LW,8',0:1,Left-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,38,5/14/16,Away,Real Madrid,Deportivo de La Coruña,0:2,LW,25',0:2,Header,Toni Kroos,Cristiano Ronaldo
LaLiga ,3,9/10/16,Home,Real Madrid,CA Osasuna,5:2,LW,6',1:0,Right-footed shot,Gareth Bale,Cristiano Ronaldo
Champions League ,Group Stage,9/14/16,Home,Real Madrid,Sporting CP,2:1,LW,89',1:1,Direct free kick,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/27/16,Away,Real Madrid,Borussia Dortmund,2:2,LW,17',0:1,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,8,10/15/16,Away,Real Madrid,Real Betis Balompié,1:6,LW,78',1:6,Right-footed shot,Álvaro Morata,Cristiano Ronaldo
LaLiga ,10,10/29/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,17',1:1,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,10,10/29/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,33',1:2,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,10,10/29/16,Away,Real Madrid,Deportivo Alavés,1:4,LW,88',1:4,Right-footed shot,Marcelo,Cristiano Ronaldo
LaLiga ,12,11/19/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,23',0:1,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,12,11/19/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,71',0:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,12,11/19/16,Away,Real Madrid,Atlético de Madrid,0:3,CF,77',0:3,Right-footed shot,Gareth Bale,Cristiano Ronaldo
LaLiga ,13,11/26/16,Home,Real Madrid,Sporting Gijón,2:1,LW,5',1:0,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,13,11/26/16,Home,Real Madrid,Sporting Gijón,2:1,LW,18',2:0,Header,Nacho Fernández,Cristiano Ronaldo
Club World Cup ,Semi-Finals,12/15/16,Away,Real Madrid,CF América,0:2,LW,90'+3,0:2,Right-footed shot,James Rodríguez,Cristiano Ronaldo
Club World Cup ,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4:2,LW,60',2:2,Penalty,Not Applicable,Cristiano Ronaldo
Club World Cup ,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4:2,LW,97',3:2,Left-footed shot,Karim Benzema,Cristiano Ronaldo
Club World Cup ,Final,12/18/16,Home,Real Madrid,Kashima Antlers,4:2,LW,104',4:2,Left-footed shot,Toni Kroos,Cristiano Ronaldo
LaLiga ,17,1/7/17,Home,Real Madrid,Granada CF,5:0,LW,27',3:0,Header,Marcelo,Cristiano Ronaldo
LaLiga ,18,1/15/17,Away,Real Madrid,Sevilla FC,2:1,CF,67',0:1,Penalty,Not Applicable,Cristiano Ronaldo
Copa del Rey ,Quarter-Finals,1/25/17,Away,Real Madrid,Celta de Vigo,2:2,CF,62',1:1,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,20,1/29/17,Home,Real Madrid,Real Sociedad,3:0,LW,51',2:0,Right-footed shot,Mateo Kovacic,Cristiano Ronaldo
LaLiga ,22,2/11/17,Away,Real Madrid,CA Osasuna,1:3,CF,24',0:1,Right-footed shot,Karim Benzema,Cristiano Ronaldo
LaLiga ,16,2/22/17,Away,Real Madrid,Valencia CF,2:1,LW,44',2:1,Header,Marcelo,Cristiano Ronaldo
LaLiga ,24,2/26/17,Away,Real Madrid,Villarreal CF,2:3,LW,74',2:2,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,25,3/1/17,Home,Real Madrid,UD Las Palmas,3:3,LW,86',2:3,Penalty,Not Applicable,Cristiano Ronaldo
LaLiga ,25,3/1/17,Home,Real Madrid,UD Las Palmas,3:3,LW,89',3:3,Header,James Rodríguez,Cristiano Ronaldo
LaLiga ,27,3/12/17,Home,Real Madrid,Real Betis Balompié,2:1,LW,41',1:1,Header,Marcelo,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/12/17,Away,Real Madrid,Bayern Munich,1:2,LW,47',1:1,Right-footed shot,Daniel Carvajal,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/12/17,Away,Real Madrid,Bayern Munich,1:2,LW,77',1:2,Right-footed shot,Marco Asensio,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4:2,CF,76',1:1,Header,Casemiro,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4:2,CF,105',2:2,Left-footed shot,Sergio Ramos,Cristiano Ronaldo
Champions League ,Quarter-Finals,4/18/17,Home,Real Madrid,Bayern Munich,4:2,CF,109',3:2,Right-footed shot,Marcelo,Cristiano Ronaldo
LaLiga ,35,4/29/17,Home,Real Madrid,Valencia CF,2:1,LW,27',1:0,Header,Daniel Carvajal,Cristiano Ronaldo
Champions League ,Semi-Finals,5/2/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,10',1:0,Header,Casemiro,Cristiano Ronaldo
Champions League ,Semi-Finals,5/2/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,73',2:0,Right-footed shot,Karim Benzema,Cristiano Ronaldo
Champions League ,Semi-Finals,5/2/17,Home,Real Madrid,Atlético de Madrid,3:0,CF,86',3:0,Right-footed shot,Lucas Vázquez,Cristiano Ronaldo
LaLiga ,37,5/14/17,Home,Real Madrid,Sevilla FC,4:1,LW,23',2:0,Right-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,37,5/14/17,Home,Real Madrid,Sevilla FC,4:1,LW,78',3:1,Left-footed shot,Toni Kroos,Cristiano Ronaldo
LaLiga ,21,5/17/17,Away,Real Madrid,Celta de Vigo,1:4,CF,10',0:1,Left-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,21,5/17/17,Away,Real Madrid,Celta de Vigo,1:4,CF,48',0:2,Left-footed shot,Isco,Cristiano Ronaldo
LaLiga ,38,5/21/17,Away,Real Madrid,Málaga CF,0:2,CF,2',0:1,Right-footed shot,Isco,Cristiano Ronaldo
Champions League ,Final,6/3/17,Away,Real Madrid,Juventus FC,1:4,CF,20',0:1,Right-footed shot,Daniel Carvajal,Cristiano Ronaldo
Champions League ,Final,6/3/17,Away,Real Madrid,Juventus FC,1:4,CF,64',1:3,Right-footed shot,Luka Modric,Cristiano Ronaldo
Supercopa ,final,8/13/17,Away,Real Madrid,FC Barcelona,1:3,CF,80',1:2,Right-footed shot,Isco,Cristiano Ronaldo
Champions League ,Group Stage,9/13/17,Home,Real Madrid,APOEL Nicosia,3:0,CF,12',1:0,Counter attack goal,Gareth Bale,Cristiano Ronaldo
Champions League ,Group Stage,9/13/17,Home,Real Madrid,APOEL Nicosia,3:0,CF,51',2:0,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,9/26/17,Away,Real Madrid,Borussia Dortmund,1:3,CF,49',0:2,Left-footed shot,Gareth Bale,Cristiano Ronaldo
Champions League ,Group Stage,9/26/17,Away,Real Madrid,Borussia Dortmund,1:3,CF,79',1:3,Right-footed shot,Luka Modric,Cristiano Ronaldo
LaLiga ,8,10/14/17,Away,Real Madrid,Getafe CF,1:2,CF,85',1:2,Right-footed shot,Isco,Cristiano Ronaldo
Champions League ,Group Stage,10/17/17,Home,Real Madrid,Tottenham Hotspur,1:1,LW,43',1:1,Penalty,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,11/1/17,Away,Real Madrid,Tottenham Hotspur,3:1,LW,80',3:1,Right-footed shot,Borja Mayoral,Cristiano Ronaldo
Champions League ,Group Stage,11/21/17,Away,Real Madrid,APOEL Nicosia,0:6,LW,49',0:5,Header,Marcelo,Cristiano Ronaldo
Champions League ,Group Stage,11/21/17,Away,Real Madrid,APOEL Nicosia,0:6,LW,54',0:6,Left-footed shot,Not Applicable,Cristiano Ronaldo
LaLiga ,13,11/25/17,Home,Real Madrid,Málaga CF,3:2,CF,76',3:2,Penalty rebound,Not Applicable,Cristiano Ronaldo
Champions League ,Group Stage,12/6/17,Home,Real Madrid,Borussia Dortmund,3:2,LW,12',2:0,Right-footed shot,Mateo Kovacic,Cristiano Ronaldo
LaLiga ,15,12/9/17,Home,Real Madrid,Sevilla FC,5:0,CF,23',2:0,Right-footed shot,Marco Asensio,Cristiano Ronaldo
LaLiga ,15,12/9/17,Home,Real Madrid,Sevilla FC,5:0,CF,31',3:0,Penalty,Not Applicable,Cristiano Ronaldo
Club World Cup ,Semi-Finals,12/13/17,Away,Real Madrid,Al-Jazira (Abu Dhabi),1:2,LW,53',1:1,Right-footed shot,Luka Modric,Cristiano Ronaldo
Club World Cup ,Final,12/16/17,Home,Real Madrid,Grêmio Foot-Ball Porto Alegrense,1:0,LW,53',1:0,Direct free kick,Not Applicable,Cristiano Ronaldo
LaLiga ,20,1/21/18,Home,Real Madrid,Deportivo de La Coruña,7:1,LW,78',5:1,Left-footed shot,Casemiro,Cristiano Ronaldo
LaLiga ,20,1/21/18,Home,Real Madrid,Deportivo de La Coruña,7:1,LW,84',6:1,Header,Lucas Vázquez,Cristiano Ronaldo
